date,year,doy,latitude,longitude,LST,pixel_id,x,y
2018-08-02,2018,214,-3.1121652664016954,-55.03755706484469,302.7963,718093_9655805,718093.5363131408,9655805.99953645
2018-08-02,2018,214,-3.1119365382146325,-54.918832444070965,304.82327,731293_9655805,731293.5363131408,9655805.99953645
2018-08-02,2018,214,-3.111857315983076,-54.87925955078243,302.88718,735693_9655805,735693.5363131408,9655805.99953645
2018-08-02,2018,214,-3.0971926749253678,-55.05737277246264,304.22928,715893_9657465,715893.5363131408,9657465.99953645
2018-08-02,2018,214,-3.0971560352282492,-55.03758477323941,305.14172,718093_9657465,718093.5363131408,9657465.99953645
2018-08-02,2018,214,-3.0971190247876756,-55.01779701043126,305.83334,720293_9657465,720293.5363131408,9657465.99953645
2018-08-02,2018,214,-3.096889177782985,-54.89907553157148,303.85196,733493_9657465,733493.5363131408,9657465.99953645
2018-08-02,2018,214,-3.0968495727685044,-54.879289490301986,303.80295,735693_9657465,735693.5363131408,9657465.99953645
2018-08-02,2018,214,-3.0968095971932916,-54.85950370448382,303.41336,737893_9657465,737893.5363131408,9657465.99953645
2018-08-02,2018,214,-3.0821832613543223,-55.05740006864534,304.80005,715893_9659125,715893.5363131408,9659125.99953645
2018-08-02,2018,214,-3.0821467995482,-55.03761234703381,303.97632,718093_9659125,718093.5363131408,9659125.99953645
2018-08-02,2018,214,-3.0819972631098826,-54.958463848371906,305.403,726893_9659125,726893.5363131408,9659125.99953645
2018-08-02,2018,214,-3.0819589568082995,-54.93867733255079,304.12885,729093_9659125,729093.5363131408,9659125.99953645
2018-08-02,2018,214,-3.0819202816752638,-54.91889106502622,305.70544,731293_9659125,731293.5363131408,9659125.99953645
2018-08-02,2018,214,-3.0818812377338327,-54.89910504817735,306.0983,733493_9659125,733493.5363131408,9659125.99953645
2018-08-02,2018,214,-3.0818418250072845,-54.879319284383165,305.47507,735693_9659125,735693.5363131408,9659125.99953645
2018-08-02,2018,214,-3.0672097600579615,-55.077214910949394,305.6367,713693_9660785,713693.5363131408,9660785.99953645
2018-08-02,2018,214,-3.0671738433032067,-55.05742723159216,305.98056,715893_9660785,715893.5363131408,9660785.99953645
2018-08-02,2018,214,-3.067137559383314,-55.03763978623729,305.2696,718093_9660785,718093.5363131408,9660785.99953645
2018-08-02,2018,214,-3.067100908319921,-55.017852577264655,302.40265,720293_9660785,720293.5363131408,9660785.99953645
2018-08-02,2018,214,-3.0669887524883666,-54.958492392436504,305.6539,726893_9660785,726893.5363131408,9660785.99953645
2018-08-02,2018,214,-3.0669506330716927,-54.938706152788455,305.4787,729093_9660785,729093.5363131408,9660785.99953645
2018-08-02,2018,214,-3.066834072721379,-54.87934893303611,304.13522,735693_9660785,735693.5363131408,9660785.99953645
2018-08-02,2018,214,-3.052200161467043,-55.077241665751686,304.4541,713693_9662445,713693.5363131408,9662445.99953645
2018-08-02,2018,214,-3.0521644207937646,-55.057454261312316,305.09192,715893_9662445,715893.5363131408,9662445.99953645
2018-08-02,2018,214,-3.052128314755361,-55.03766709085917,304.67603,718093_9662445,718093.5363131408,9662445.99953645
2018-08-02,2018,214,-3.0520918433733617,-55.01788015677195,302.37762,720293_9662445,720293.5363131408,9662445.99953645
2018-08-02,2018,214,-3.051980237384339,-54.95852079650055,304.93375,726893_9662445,726893.5363131408,9662445.99953645
2018-08-02,2018,214,-3.0519423048475933,-54.93873483167104,304.53696,729093_9662445,729093.5363131408,9662445.99953645
2018-08-02,2018,214,-3.051666551868804,-54.80024016240945,303.59317,744493_9662445,744493.5363131408,9662445.99953645
2018-08-02,2018,214,-3.037154993847743,-55.057481157815026,303.73038,715893_9664105,715893.5363131408,9664105.99953645
2018-08-02,2018,214,-3.03711906568611,-55.03769426090876,304.59634,718093_9664105,718093.5363131408,9664105.99953645
2018-08-02,2018,214,-3.036971717819664,-54.95854906057371,304.35464,726893_9664105,726893.5363131408,9664105.99953645
2018-08-02,2018,214,-3.0369339721578896,-54.938763369208296,302.15973,729093_9664105,729093.5363131408,9664105.99953645
2018-08-02,2018,214,-3.0367397928059137,-54.839838683629566,304.08405,740093_9664105,740093.5363131408,9664105.99953645
2018-08-02,2018,214,-3.0366998668889558,-54.82005451741193,303.90247,742293_9664105,742293.5363131408,9664105.99953645
2018-08-02,2018,214,-3.0366595776781704,-54.8002706137091,306.03107,744493_9664105,744493.5363131408,9664105.99953645
2018-08-02,2018,214,-3.0366189251975726,-54.78048697489879,304.40405,746693_9664105,746693.5363131408,9664105.99953645
2018-08-02,2018,214,-3.022145562486888,-55.057507921109426,303.14627,715893_9665765,715893.5363131408,9665765.99953645
2018-08-02,2018,214,-3.0220003909514292,-54.9783628497708,302.13376,724693_9665765,724693.5363131408,9665765.99953645
2018-08-02,2018,214,-3.021963193816208,-54.95857718466557,303.30566,726893_9665765,726893.5363131408,9665765.99953645
2018-08-02,2018,214,-3.0217717837434788,-54.859652594453564,306.08398,737893_9665765,737893.5363131408,9665765.99953645
2018-08-02,2018,214,-3.0217324170093582,-54.83986844012236,305.2549,740093_9665765,740093.5363131408,9665765.99953645
2018-08-02,2018,214,-3.021692688756298,-54.820084545910305,304.63794,742293_9665765,742293.5363131408,9665765.99953645
2018-08-02,2018,214,-3.0216525990079806,-54.80030091419513,302.84494,744493_9665765,744493.5363131408,9665765.99953645
2018-08-02,2018,214,-3.021612147788299,-54.78051754735438,305.44885,746693_9665765,746693.5363131408,9665765.99953645
2018-08-02,2018,214,-3.0215713351213647,-54.760734447765486,306.98196,748893_9665765,748893.5363131408,9665765.99953645
